parcel_id,origin,destination,dest_node,size_class,request_time,urgency,peak_multiplier,hour
2959,Meerhoven,Meerhoven,5628622595,A,362,normal,0.4,6
854,Centrum,Centrum,3570174260,A,366,normal,0.4,6
351,Centrum,Centrum,42617633,A,367,normal,0.4,6
1898,Blixembosch,Blixembosch,42775205,A,368,normal,0.4,6
2221,Blixembosch,Blixembosch,42780572,A,368,normal,0.4,6
3064,Meerhoven,Meerhoven,405771142,A,372,normal,0.4,6
654,Centrum,Centrum,2612950217,A,390,normal,0.4,6
1842,Blixembosch,Blixembosch,42776636,A,390,normal,0.4,6
3577,External,Meerhoven,9764536215,A,396,normal,0.4,6
3563,External,Meerhoven,6712429505,A,396,normal,0.4,6
3083,Meerhoven,Meerhoven,2305493848,A,397,normal,0.4,6
1681,Blixembosch,Blixembosch,42781750,B,399,normal,0.4,6
2108,Blixembosch,Blixembosch,42781750,A,400,normal,0.4,6
3000,Meerhoven,Meerhoven,5628624241,A,410,normal,0.4,6
1144,Centrum,Blixembosch,2749903065,A,411,normal,0.4,6
2636,Blixembosch,Meerhoven,9764536215,A,413,normal,0.4,6
896,Centrum,Centrum,10304438694,B,416,normal,0.4,6
2729,Blixembosch,Meerhoven,5628624239,A,421,normal,0.4,7
473,Centrum,Centrum,10298392781,A,422,normal,0.4,7
634,Centrum,Centrum,2701424935,A,425,normal,0.4,7
1471,External,Centrum,5228955093,A,426,normal,0.4,7
2372,Blixembosch,Blixembosch,42773566,A,432,normal,0.4,7
615,Centrum,Centrum,7347144614,A,436,normal,0.4,7
2288,Blixembosch,Blixembosch,42773566,A,444,normal,0.4,7
1664,Blixembosch,Blixembosch,4864108973,A,444,normal,0.4,7
328,Centrum,Centrum,268515893,B,452,normal,0.4,7
2713,Blixembosch,Centrum,1886079698,A,461,normal,0.4,7
1317,Centrum,Blixembosch,11067720962,A,465,normal,0.4,7
2300,Blixembosch,Blixembosch,42775205,A,472,normal,0.4,7
3496,Meerhoven,Centrum,11425558395,B,473,normal,0.4,7
1181,Centrum,Meerhoven,919369136,A,475,normal,0.4,7
3195,Meerhoven,Meerhoven,423933237,A,479,normal,0.4,7
2617,Blixembosch,Centrum,12871697064,A,480,high,1.8,8
2403,Blixembosch,Blixembosch,10659597098,B,480,normal,1.8,8
1901,Blixembosch,Blixembosch,42780572,A,480,normal,1.8,8
2483,Blixembosch,Blixembosch,2739556567,A,480,high,1.8,8
2973,Meerhoven,Meerhoven,2305493848,A,480,high,1.8,8
2439,Blixembosch,Blixembosch,42775207,A,480,normal,1.8,8
1172,Centrum,Blixembosch,4864108973,A,480,normal,1.8,8
833,Centrum,Centrum,5912896156,A,481,high,1.8,8
1552,External,Centrum,312790029,B,481,high,1.8,8
1430,Centrum,Blixembosch,42780572,A,481,normal,1.8,8
875,Centrum,Centrum,42616158,B,482,high,1.8,8
1550,External,Centrum,11809627905,A,482,high,1.8,8
2986,Meerhoven,Meerhoven,403878587,A,482,normal,1.8,8
1804,Blixembosch,Blixembosch,42783856,A,482,normal,1.8,8
2363,Blixembosch,Blixembosch,42773158,A,482,normal,1.8,8
2389,Blixembosch,Blixembosch,4864108986,A,483,high,1.8,8
3161,Meerhoven,Meerhoven,1969225556,A,483,high,1.8,8
1598,External,Centrum,42620070,A,483,high,1.8,8
1637,Blixembosch,Blixembosch,4864108986,A,483,high,1.8,8
2884,Meerhoven,Meerhoven,423933258,B,483,high,1.8,8
1613,External,Centrum,11809627905,A,484,normal,1.8,8
3421,Meerhoven,Blixembosch,11067720973,A,484,high,1.8,8
712,Centrum,Centrum,4686541208,B,484,normal,1.8,8
294,Centrum,Centrum,12032936831,B,484,normal,1.8,8
1234,Centrum,Meerhoven,5210394509,A,484,normal,1.8,8
198,Centrum,Centrum,1270849063,A,484,normal,1.8,8
3012,Meerhoven,Meerhoven,9696073556,A,484,normal,1.8,8
3549,External,Meerhoven,2305493848,A,484,normal,1.8,8
1006,Centrum,Centrum,3570174260,A,484,high,1.8,8
3110,Meerhoven,Meerhoven,6105821144,A,484,high,1.8,8
1591,External,Centrum,1271057023,A,485,normal,1.8,8
2697,Blixembosch,Meerhoven,11441005021,A,485,high,1.8,8
71,Centrum,Centrum,12819781831,A,485,high,1.8,8
894,Centrum,Centrum,42621145,A,485,high,1.8,8
22,Centrum,Centrum,10253033523,A,485,high,1.8,8
1509,External,Centrum,42625385,B,485,high,1.8,8
