parcel_id,origin,destination,dest_node,size_class,request_time,urgency,peak_multiplier,hour
52,Centrum,Centrum,3446865861,A,362,normal,0.4,6
331,Blixembosch,Blixembosch,4864108980,A,364,normal,0.4,6
362,Blixembosch,Blixembosch,2763956477,B,366,normal,0.4,6
33,Centrum,Centrum,1931472237,A,374,normal,0.4,6
398,Blixembosch,Centrum,42615213,A,375,normal,0.4,6
18,Centrum,Centrum,11809651397,A,381,normal,0.4,6
90,Centrum,Centrum,9581456475,B,382,normal,0.4,6
402,Blixembosch,Meerhoven,42634297,A,383,normal,0.4,6
372,Blixembosch,Blixembosch,42782053,A,386,normal,0.4,6
21,Centrum,Centrum,42619084,A,389,normal,0.4,6
137,Centrum,Centrum,42621811,A,390,normal,0.4,6
19,Centrum,Centrum,42613511,A,390,normal,0.4,6
108,Centrum,Centrum,10298392795,A,391,normal,0.4,6
199,Centrum,Blixembosch,42778952,A,392,normal,0.4,6
500,Meerhoven,Meerhoven,11441005015,A,397,normal,0.4,6
526,Meerhoven,Centrum,7347144616,A,397,normal,0.4,6
31,Centrum,Centrum,12819781825,A,409,normal,0.4,6
443,Meerhoven,Meerhoven,42631186,A,412,normal,0.4,6
464,Meerhoven,Meerhoven,11441005015,A,416,normal,0.4,6
338,Blixembosch,Blixembosch,42782911,A,420,normal,0.4,7
430,External,Blixembosch,42777061,A,426,normal,0.4,7
2,Centrum,Centrum,3446865861,A,427,normal,0.4,7
321,Blixembosch,Blixembosch,42782911,B,433,normal,0.4,7
275,External,Centrum,42610489,A,434,normal,0.4,7
366,Blixembosch,Blixembosch,42782911,A,442,normal,0.4,7
234,Centrum,Meerhoven,423933239,A,452,normal,0.4,7
549,External,Meerhoven,403875978,B,459,normal,0.4,7
509,Meerhoven,Meerhoven,410122629,A,466,normal,0.4,7
220,Centrum,Meerhoven,919369136,A,469,normal,0.4,7
230,Centrum,Meerhoven,423933237,A,482,high,1.8,8
465,Meerhoven,Meerhoven,6001202641,A,482,high,1.8,8
541,External,Meerhoven,6712429504,B,483,normal,1.8,8
189,Centrum,Centrum,5228955096,B,483,normal,1.8,8
216,Centrum,Meerhoven,4093647308,A,484,high,1.8,8
496,Meerhoven,Meerhoven,4093647419,A,486,high,1.8,8
271,External,Centrum,42629621,A,486,normal,1.8,8
23,Centrum,Centrum,12871697065,A,486,normal,1.8,8
323,Blixembosch,Blixembosch,4864108973,A,487,high,1.8,8
38,Centrum,Centrum,42623344,A,488,normal,1.8,8
226,Centrum,Blixembosch,11067720968,A,489,high,1.8,8
363,Blixembosch,Blixembosch,42778952,A,491,normal,1.8,8
263,External,Centrum,6386200855,B,491,high,1.8,8
283,Blixembosch,Blixembosch,42782053,A,492,high,1.8,8
215,Centrum,Blixembosch,4864108986,A,492,normal,1.8,8
418,Blixembosch,Meerhoven,11771665786,A,493,normal,1.8,8
528,Meerhoven,Centrum,9112896292,B,494,normal,1.8,8
218,Centrum,Meerhoven,42631186,A,494,high,1.8,8
474,Meerhoven,Meerhoven,6001202638,A,494,high,1.8,8
453,Meerhoven,Meerhoven,2380149703,A,495,high,1.8,8
82,Centrum,Centrum,9112896292,B,495,high,1.8,8
386,Blixembosch,Blixembosch,42782911,A,498,high,1.8,8
470,Meerhoven,Meerhoven,409019360,A,499,normal,1.8,8
371,Blixembosch,Blixembosch,2763956477,A,499,high,1.8,8
243,Centrum,Blixembosch,42782053,A,502,high,1.8,8
135,Centrum,Centrum,9628866980,A,502,high,1.8,8
488,Meerhoven,Meerhoven,8691449414,B,503,high,1.8,8
435,External,Blixembosch,42776636,A,504,normal,1.8,8
463,Meerhoven,Meerhoven,5210315123,B,505,high,1.8,8
361,Blixembosch,Blixembosch,11067720962,B,506,normal,1.8,8
410,Blixembosch,Meerhoven,403877455,A,506,high,1.8,8
175,Centrum,Centrum,6938209311,B,507,normal,1.8,8
53,Centrum,Centrum,3570174260,A,508,normal,1.8,8
13,Centrum,Centrum,7347144614,A,508,normal,1.8,8
505,Meerhoven,Meerhoven,5210315123,A,509,high,1.8,8
134,Centrum,Centrum,11809651397,B,510,high,1.8,8
491,Meerhoven,Meerhoven,2380149708,B,510,normal,1.8,8
207,Centrum,Blixembosch,42772959,A,510,high,1.8,8
29,Centrum,Centrum,9112896292,B,511,normal,1.8,8
428,External,Blixembosch,42767643,A,513,high,1.8,8
265,External,Centrum,4686541171,B,513,high,1.8,8
223,Centrum,Blixembosch,42776636,A,514,normal,1.8,8
201,Centrum,Blixembosch,42778952,A,520,high,1.8,8
11,Centrum,Centrum,9767828161,A,520,normal,1.8,8
266,External,Centrum,12819781825,A,520,normal,1.8,8
8,Centrum,Centrum,42615213,B,521,high,1.8,8
273,External,Centrum,12032936837,A,522,high,1.8,8
179,Centrum,Centrum,9592810682,A,523,normal,1.8,8
155,Centrum,Centrum,42615018,A,524,high,1.8,8
501,Meerhoven,Meerhoven,1332035621,A,526,normal,1.8,8
420,Blixembosch,Meerhoven,410122639,A,526,high,1.8,8
163,Centrum,Centrum,12871697066,B,528,normal,1.8,8
14,Centrum,Centrum,42610619,A,529,high,1.8,8
512,Meerhoven,Meerhoven,1969225556,A,531,normal,1.8,8
519,Meerhoven,Centrum,652808581,A,531,high,1.8,8
58,Centrum,Centrum,42627410,A,533,normal,1.8,8
469,Meerhoven,Meerhoven,409019326,B,533,normal,1.8,8
109,Centrum,Centrum,10252954533,B,534,normal,1.8,8
477,Meerhoven,Meerhoven,2380149708,A,536,normal,1.8,8
353,Blixembosch,Blixembosch,42780938,A,536,high,1.8,8
281,Blixembosch,Blixembosch,274711965,A,538,normal,1.8,8
156,Centrum,Centrum,1886079830,A,538,high,1.8,8
71,Centrum,Centrum,42620679,A,538,high,1.8,8
486,Meerhoven,Meerhoven,6105821143,A,538,high,1.8,8
399,Blixembosch,Meerhoven,2305493848,A,539,high,1.8,8
101,Centrum,Centrum,9628866986,A,539,high,1.8,8
9,Centrum,Centrum,268515848,A,540,high,1.8,9
381,Blixembosch,Blixembosch,42768375,A,542,high,1.8,9
127,Centrum,Centrum,10298392795,A,544,normal,1.8,9
158,Centrum,Centrum,42607514,B,544,high,1.8,9
89,Centrum,Centrum,9112896285,B,545,normal,1.8,9
407,Blixembosch,Meerhoven,4093647315,A,546,normal,1.8,9
12,Centrum,Centrum,12032936787,A,546,high,1.8,9
237,Centrum,Blixembosch,4864108986,B,548,normal,1.8,9
64,Centrum,Centrum,12032936787,A,549,high,1.8,9
490,Meerhoven,Meerhoven,11425682977,B,549,high,1.8,9
521,Meerhoven,Centrum,12032936797,A,549,high,1.8,9
97,Centrum,Centrum,1931472138,A,550,high,1.8,9
177,Centrum,Centrum,42616158,A,550,high,1.8,9
147,Centrum,Centrum,569911333,A,552,high,1.8,9
293,Blixembosch,Blixembosch,2749903065,A,552,high,1.8,9
479,Meerhoven,Meerhoven,2380149708,B,552,normal,1.8,9
